Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Mileage,Mileage,Gross_Vehicle_Weight,Kerb_Weight
Tata,Nano Genx,Xt,624,2,24,Petrol,23.6,23.6,,660 kg
Tata,Nano Genx,Xe,624,2,24,Petrol,23.6,23.6,,725 kg
Tata,Nano Genx,Emax Xm,624,2,15,CNG,36,36,,710 kg
Tata,Nano Genx,Xta,624,2,24,Petrol,23.6,23.6,,725 kg
Tata,Nano Genx,Xm,624,2,24,Petrol,23.6,23.6,,725 kg
Tata,Nano Genx,Xma,624,2,24,Petrol,23.6,23.6,,710 kg
Datsun,Redi-Go,D,799,3,28,Petrol,21.38,21.38,,
Datsun,Redi-Go,T,799,3,28,Petrol,21.38,21.38,,725 kg
Datsun,Redi-Go,A,799,3,28,Petrol,21.38,21.38,,725 kg
Datsun,Redi-Go,S,799,3,28,Petrol,21.38,21.38,,
Datsun,Redi-Go,1.0 S,999,3,28,Petrol,22.5,22.5,,
Datsun,Redi-Go,1.0 S Amt,999,3,28,Petrol,23,23,,
Renault,Kwid,Rxe 0.8,799,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Std 0.8,799,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxl 0.8,799,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxt 0.8,799,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Climber 1.0 Mt,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxt Amt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Climber Amt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxt (O) 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Rxt (O) Amt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Climber (O) Mt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Renault,Kwid,Climber (O) Amt 1.0,999,3,28,Petrol,25.17,25.17,,669 kg
Maruti Suzuki,Eeco,5 Str,1196,4,40,Petrol,12,12,1510 kg,920 kg
Maruti Suzuki,Eeco,7 Str,1196,4,40,Petrol,12,12,1540 kg,940 kg
Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196,4,40,Petrol,11,11,1510 kg,928 kg
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196,4,40,CNG,20,20,1510 kg,1050 kg
Maruti Suzuki,Eeco,5 Str With Htr Cng,1196,4,40,CNG,20,20,1510 kg,1030 kg
Maruti Suzuki,Alto K10,Lxi,998,3,35,Petrol,14,14,1210 kg,745 kg
Maruti Suzuki,Alto K10,Vxi,998,3,35,Petrol,14,14,1210 kg,750 kg
Maruti Suzuki,Alto K10,Lx,998,3,35,Petrol,19,19,1210 kg,740 kg
