Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Mileage,Mileage,Kerb_Weight
Ford,Freestyle,1.5L Tdci Ambiente,1498,4,40,Diesel,24.4,24.4,1062 kg
Ford,Freestyle,1.5L Tdci Titanium,1498,4,40,Diesel,24.4,24.4,1074 kg
Ford,Freestyle,1.5L Tdci Titanium Plus,1498,4,40,Diesel,24.4,24.4,1080 kg
Ford,Freestyle,1.2L Ti-Vct Ambiente,1194,3,42,Petrol,19,19,1026 kg
Ford,Freestyle,1.2L Ti-Vct Titanium,1194,3,42,Petrol,19,19,1038 kg
Ford,Freestyle,1.2L Ti-Vct Titanium Plus,1194,3,42,Petrol,19,19,1044 kg
Ford,Freestyle,1.2L Ti-Vct Trend Plus,1194,3,42,Petrol,19,19,1032 kg
Ford,Freestyle,1.5L Tdci Trend Plus,1498,3,42,Diesel,24.4,24.4,1068 kg
Ford,Aspire,1.2 Ti-Vct Ambiente,1194,4,42,Petrol,20.4,20.4,1016 kg
Ford,Aspire,1.2 Ti-Vct Trend Plus,1194,4,42,Petrol,20.4,20.4,1016 kg
Ford,Aspire,1.2 Ti-Vct Trend,1194,4,42,Petrol,20.4,20.4,1016 kg
Ford,Aspire,1.5 Tdci Ambiente,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Aspire,1.5 Tdci Trend,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Aspire,1.5 Tdci Trend Plus,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Aspire,1.5 Tdci Titanium,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Aspire,1.5 Tdci Titanium Plus,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Aspire,1.2 Ti-Vct Titanium Plus,1194,4,42,Petrol,19.4,19.4,1053 kg
Ford,Aspire,1.2 Ti-Vct Titanium,1194,4,42,Petrol,19.4,19.4,1016 kg
Ford,Aspire,1.2 Trend Plus Cng,1194,4,42,CNG,20.4,20.4,1016 kg
Ford,Aspire,1.2 Ti-Vct Blu,1194,4,42,Petrol,19.4,19.4,1016 kg
Ford,Aspire,1.5 Tdci Blu,1498,4,40,Diesel,26.1,26.1,1053 kg
Ford,Mustang,Fastback V8,4951,8,60.9,Petrol,10,10,1053 kg
Ford,Ecosport,1.5L Ti-Vct Ambiente,1497,3,52,Petrol,0,0,1220 kg
Ford,Ecosport,1.5L Ti-Vct Trend,1497,3,52,Petrol,0,0,1225 kg
Ford,Ecosport,1.5L Ti-Vct Titanium,1497,3,52,Petrol,0,0,1242 kg
Ford,Ecosport,1.5L Ti-Vct Titanium Plus At,1497,3,52,Petrol,0,0,1320 kg
Ford,Ecosport,1.5L Tdci Ambiente,1498,4,52,Diesel,0,0,1261 kg
Ford,Ecosport,1.5L Tdci Trend,1498,4,52,Diesel,0,0,1268 kg
Ford,Ecosport,1.5L Tdci Titanium,1498,4,52,Diesel,0,0,1300 kg
Ford,Ecosport,1.5L Tdci Titanium Plus,1498,4,52,Diesel,0,0,1304 kg
Ford,Ecosport,1.5L Ti-Vct Titanium Plus,1497,4,52,Petrol,0,0,1304 kg
Ford,Ecosport,1.5L Tdci Titanium S,1498,3,52,Diesel,0,0,1242 kg
Ford,Ecosport,1.5L Ti-Vct Thunder Edition,1497,4,52,Petrol,0,0,1304 kg
Honda,Jazz,V Petrol,1199,4,40,Petrol,11.3,11.3,1042 kg
Honda,Jazz,Vx Cvt,1199,4,40,Petrol,11.3,11.3,1066 kg
Honda,Jazz,Vx Petrol,1199,4,40,Petrol,11.3,11.3,1044 kg
Honda,Jazz,V Cvt,1199,4,40,Petrol,11.3,11.3,1064 kg
Honda,Jazz,S Diesel,1498,4,40,Diesel,12,12,1139 kg
Honda,Jazz,V Diesel,1498,4,40,Diesel,12,12,1146 kg
Honda,Jazz,Vx Diesel,1498,4,40,Diesel,12,12,1155 kg
Honda,Jazz,Exclusive Edition Cvt,1199,4,40,Petrol,18.2,18.2,1066 kg
Honda,Cr-V,Awd Diesel At,1597,4,57,Diesel,18.3,18.3,1725 kg
Honda,Amaze,S Cvt Petrol,1199,4,35,Petrol,0,0,942 kg
Honda,Amaze,E Mt Diesel,1498,4,35,Diesel,0,0,993 kg
Honda,Amaze,E Mt Petrol,1199,4,35,Petrol,0,0,905 kg
Honda,Amaze,S Cvt Diesel,1498,4,35,Diesel,0,0,1031 kg
Honda,Amaze,V Cvt Petrol,1199,4,35,Petrol,0,0,945 kg
Honda,Amaze,V Cvt Diesel,1498,4,35,Diesel,0,0,1039 kg
Honda,Amaze,S Mt Diesel,1498,4,35,Diesel,0,0,1010 kg
